ticker,n_days,coverage,kept
BDC,252,1.0,True
BDEC,252,1.0,True
BDJ,252,1.0,True
BDL,252,1.0,True
BDN,252,1.0,True
BDRY,252,1.0,True
BDSX,252,1.0,True
BDTX,252,1.0,True
BDVL,136,0.5396825396825397,False
BDX,252,1.0,True
BDYN,136,0.5396825396825397,False
BE,252,1.0,True
BEAM,252,1.0,True
BEAT,252,1.0,True
BEDY,76,0.30158730158730157,False
BEEM,252,1.0,True
BEEP,252,1.0,True
BEKE,252,1.0,True
BELFA,252,1.0,True
BELFB,252,1.0,True
BEN,252,1.0,True
BEPC,252,1.0,True
BETA,100,0.3968253968253968,False
BETR,252,1.0,True
BETZ,252,1.0,True
BEX,93,0.36904761904761907,False
BF/A,0,0.0,False
BF/B,0,0.0,False
BFAM,252,1.0,True
BFC,252,1.0,True
BFEB,252,1.0,True
BFH,252,1.0,True
BFLY,252,1.0,True
BFOR,252,1.0,True
BFRG,252,1.0,True
BFRZ,221,0.876984126984127,False
BFS,252,1.0,True
BFST,252,1.0,True
BGB,252,1.0,True
BGC,252,1.0,True
BGH,252,1.0,True
BGIG,252,1.0,True
BGLD,252,1.0,True
BGMS,252,1.0,True
BGR,252,1.0,True
BGRN,252,1.0,True
BGS,252,1.0,True
BGSF,252,1.0,True
BGSI,101,0.4007936507936508,False
BGT,252,1.0,True
BGX,252,1.0,True
BH,252,1.0,True
BH/A,0,0.0,False
BHB,252,1.0,True
BHC,252,1.0,True
BHE,252,1.0,True
BHF,252,1.0,True
BHK,252,1.0,True
BHM,252,1.0,True
BHP,252,1.0,True
BHR,252,1.0,True
BHRB,252,1.0,True
BIB,252,1.0,True
BIBL,252,1.0,True
BIDD,252,1.0,True
BIDU,252,1.0,True
BIGY,252,1.0,True
BIIB,252,1.0,True
BIL,252,1.0,True
BILI,252,1.0,True
BILL,252,1.0,True
BILS,252,1.0,True
BILZ,252,1.0,True
BINC,252,1.0,True
BINV,252,1.0,True
BIO,252,1.0,True
BIOA,252,1.0,True
BIPC,252,1.0,True
BIRD,252,1.0,True
BIT,252,1.0,True
BITB,252,1.0,True
BITI,252,1.0,True
BITO,252,1.0,True
BITQ,252,1.0,True
BITS,252,1.0,True
BITU,252,1.0,True
BITW,252,1.0,True
BITX,252,1.0,True
BITY,229,0.9087301587301587,True
BIV,252,1.0,True
BIVI,252,1.0,True
BIZD,252,1.0,True
BJ,252,1.0,True
BJAN,252,1.0,True
BJRI,252,1.0,True
BJUL,252,1.0,True
BJUN,252,1.0,True
BKAG,252,1.0,True
BKCG,251,0.996031746031746,True
BKCH,252,1.0,True
BKCI,252,1.0,True
BKD,252,1.0,True
BKDV,252,1.0,True
BKE,252,1.0,True
BKF,252,1.0,True
BKFI,54,0.21428571428571427,False
BKGI,252,1.0,True
BKH,252,1.0,True
BKHY,252,1.0,True
BKIE,252,1.0,True
BKKT,252,1.0,True
BKLC,252,1.0,True
BKLN,252,1.0,True
BKMI,54,0.21428571428571427,False
BKNG,252,1.0,True
BKR,252,1.0,True
BKSE,252,1.0,True
BKSY,252,1.0,True
BKT,252,1.0,True
BKTI,252,1.0,True
BKU,252,1.0,True
BKUI,252,1.0,True
BKV,252,1.0,True
BL,252,1.0,True
BLBD,252,1.0,True
BLCO,252,1.0,True
BLCR,252,1.0,True
BLCV,252,1.0,True
BLD*,0,0.0,False
BLDP,252,1.0,True
BLDR,252,1.0,True
BLDX,39,0.15476190476190477,False
BLES,252,1.0,True
BLFS,252,1.0,True
BLFY,0,0.0,False
BLIN,252,1.0,True
BLK,252,1.0,True
BLKB,252,1.0,True
BLLN,98,0.3888888888888889,False
BLMN,252,1.0,True
BLND,252,1.0,True
BLNE,252,1.0,True
BLNK,252,1.0,True
BLOK,252,1.0,True
BLOX,197,0.7817460317460317,False
BLTE,252,1.0,True
BLV,252,1.0,True
BLW,252,1.0,True
BLZE,252,1.0,True
BMA,252,1.0,True
BMAR,252,1.0,True
BMAY,252,1.0,True
BMBL,252,1.0,True
BMEA,252,1.0,True
BMED,252,1.0,True
BMEZ,252,1.0,True
BMI,252,1.0,True
BMNR,205,0.8134920634920635,False
BMO,252,1.0,True
BMOP,54,0.21428571428571427,False
BMRC,252,1.0,True
BMRN,252,1.0,True
BMVP,252,1.0,True
BMY,252,1.0,True
BN,252,1.0,True
BNC,252,1.0,True
BND,252,1.0,True
BNDI,252,1.0,True
BNDW,252,1.0,True
BNDX,252,1.0,True
BNED,252,1.0,True
BNGO,252,1.0,True
BNL,252,1.0,True
BNO,252,1.0,True
BNOV,252,1.0,True
BNR,252,1.0,True
BNS,252,1.0,True
BNTC,252,1.0,True
BNTX,252,1.0,True
BNY,252,1.0,True
BOAT,252,1.0,True
BOC,252,1.0,True
BOCT,252,1.0,True
BODI,252,1.0,True
BOF,252,1.0,True
BOH,252,1.0,True
BOIL1EUR,0,0.0,False
BOKF,252,1.0,True
BOLD,252,1.0,True
BOLT,252,1.0,True
BOND,252,1.0,True
BOOM,252,1.0,True
BOOT,252,1.0,True
BOTZ,252,1.0,True
BOW,252,1.0,True
BOX,252,1.0,True
BOXA,252,1.0,True
BOXX,252,1.0,True
BP,252,1.0,True
BPOP,252,1.0,True
BPRE,71,0.28174603174603174,False
BPRN,252,1.0,True
BR,252,1.0,True
BRAG,252,1.0,True
BRBR,252,1.0,True
BRBS,252,1.0,True
BRC,252,1.0,True
BRCB,137,0.5436507936507936,False
BRID,252,1.0,True
BRK/A,0,0.0,False
BRK/B,0,0.0,False
BRKR,252,1.0,True
BRKU,252,1.0,True
BRKW,196,0.7777777777777778,False
BRLT,252,1.0,True
BRN,252,1.0,True
BRNS,252,1.0,True
BRO,252,1.0,True
BROS,252,1.0,True
BRR,203,0.8055555555555556,False
BRSP,252,1.0,True
BRT,252,1.0,True
BRTR,252,1.0,True
BRW,252,1.0,True
BRX,252,1.0,True
BRZE,252,1.0,True
BSAC,252,1.0,True
BSBK,252,1.0,True
BSBR,252,1.0,True
BSCQ,252,1.0,True
BSCR,252,1.0,True
BSCS,252,1.0,True
BSCT,252,1.0,True
BSCU,252,1.0,True
BSCV,252,1.0,True
BSCW,252,1.0,True
BSCX,252,1.0,True
BSCY,252,1.0,True
BSCZ,201,0.7976190476190477,False
BSEP,252,1.0,True
BSET,252,1.0,True
BSJQ,252,1.0,True
BSJR,252,1.0,True
BSJS,252,1.0,True
BSJT,252,1.0,True
BSJU,252,1.0,True
BSJV,252,1.0,True
BSJW,252,1.0,True
BSJX,201,0.7976190476190477,False
BSL,252,1.0,True
BSM,252,1.0,True
BSMC,252,1.0,True
BSMQ,252,1.0,True
BSMR,252,1.0,True
BSMS,252,1.0,True
BSMT,252,1.0,True
BSMU,252,1.0,True
BSMV,252,1.0,True
BSMW,252,1.0,True
BSMY,252,1.0,True
BSMZ,134,0.5317460317460317,False
BSOL,105,0.4166666666666667,False
BSRR,252,1.0,True
BSSX,252,1.0,True
BST,252,1.0,True
BSTZ,252,1.0,True
BSV,252,1.0,True
BSVN,252,1.0,True
BSVO,252,1.0,True
BSX,252,1.0,True
BSY,252,1.0,True
BTAI,252,1.0,True
BTAL,252,1.0,True
BTC,252,1.0,True
BTCC,249,0.9880952380952381,True
BTCI,252,1.0,True
BTCL,252,1.0,True
BTCO,252,1.0,True
BTCS,252,1.0,True
BTCW,252,1.0,True
BTCZ,252,1.0,True
BTE,252,1.0,True
BTF,252,1.0,True
BTG,252,1.0,True
BTGD,252,1.0,True
BTGO,48,0.19047619047619047,False
BTI,252,1.0,True
BTLN,252,1.0,True
BTMD,252,1.0,True
BTO,252,1.0,True
BTQ,127,0.503968253968254,False
BTSG,252,1.0,True
BTT,252,1.0,True
BTU,252,1.0,True
BTX,252,1.0,True
BTZ,252,1.0,True
BUCK,252,1.0,True
BUD,252,1.0,True
BUFB,252,1.0,True
BUFC,252,1.0,True
BUFD,252,1.0,True
BUFF,252,1.0,True
BUFG,252,1.0,True
BUFI,252,1.0,True
BUFM,252,1.0,True
BUFP,252,1.0,True
BUFQ,252,1.0,True
BUFR,252,1.0,True
BUFS,252,1.0,True
BUFT,252,1.0,True
BUFZ,252,1.0,True
BUG,252,1.0,True
BUI,252,1.0,True
BUI-R,0,0.0,False
BUL,252,1.0,True
BURL,252,1.0,True
BUSE,252,1.0,True
BUXX,252,1.0,True
BUYW,252,1.0,True
BUZZ,252,1.0,True
BV,252,1.0,True
BVE,0,0.0,False
BVFL,252,1.0,True
BVN,252,1.0,True
BVS,252,1.0,True
BW,252,1.0,True
BWA,252,1.0,True
BWAY,252,1.0,True
BWB,252,1.0,True
BWEN,252,1.0,True
BWET,252,1.0,True
BWFG,252,1.0,True
BWG,252,1.0,True
BWIN,252,1.0,True
BWMN,252,1.0,True
BWX,252,1.0,True
BWXT,252,1.0,True
BX,252,1.0,True
BXC,252,1.0,True
BXMT,252,1.0,True
BXP,252,1.0,True
BXSL,252,1.0,True
BY,252,1.0,True
BYD,252,1.0,True
BYFC,252,1.0,True
BYLD,252,1.0,True
BYNDEUR,0,0.0,False
BYRN,252,1.0,True
BZ,252,1.0,True
BZAI,252,1.0,True
BZFD,252,1.0,True
BZH,252,1.0,True
BZUN,252,1.0,True
C,252,1.0,True
CABA,252,1.0,True
CABO,252,1.0,True
CAC,252,1.0,True
CACC,252,1.0,True
CACI,252,1.0,True
CADL,252,1.0,True
CAE,252,1.0,True
CAG,252,1.0,True
CAH,252,1.0,True
CAI,196,0.7777777777777778,False
CAKE,252,1.0,True
CAL,252,1.0,True
CALF,252,1.0,True
CALM,252,1.0,True
CALX,252,1.0,True
CALY,252,1.0,True
CAM,121,0.4801587301587302,False
CAN,252,1.0,True
CANE,252,1.0,True
CAPL,252,1.0,True
CAPR,252,1.0,True
CAR,252,1.0,True
CARE,252,1.0,True
CARG,252,1.0,True
CARL,173,0.6865079365079365,False
CARR,252,1.0,True
CARS,252,1.0,True
CART,252,1.0,True
CARY,252,1.0,True
CARZ,252,1.0,True
CASH,252,1.0,True
CASS,252,1.0,True
CASY,252,1.0,True
CAT,252,1.0,True
CATH,252,1.0,True
CATO,252,1.0,True
CATX,252,1.0,True
CATY,252,1.0,True
CAVA,252,1.0,True
CBAN,252,1.0,True
CBC,87,0.34523809523809523,False
CBFV,252,1.0,True
CBK,123,0.4880952380952381,False
CBL,252,1.0,True
CBLL,252,1.0,True
CBNA,252,1.0,True
CBNK,252,1.0,True
CBOE,252,1.0,True
CBRE,252,1.0,True
CBRL,252,1.0,True
CBSH,252,1.0,True
CBT,252,1.0,True
