manager_name,cik,accession_number,report_period,portfolio_value,position_count,mapping_coverage,price_history_coverage,volatility,mdd,beta,sector_hhi,unknown_sector_weight,n_sectors
Notis-McConarty Edward,0001592616,0001592616-26-000002,31-MAR-2026,217275173,62,0.9924996730383672,0.9807156154007527,0.1879863742162396,0.11775933091401136,0.969940181853802,0.19553577320601204,0.0012539634682669472,12
"BRIGHT FINANCIAL ADVISORS, INC.",0002022456,0001172661-26-001920,31-MAR-2026,214119388,63,0.9811053965381882,0.9612080667818834,0.1302803191139068,0.08969488279603988,0.6280204635377209,0.7329001658090953,0.0,10
"Sterling Group Wealth Management, LLC",0001852307,0001852307-26-000003,31-MAR-2026,211415868,56,1.0,0.9953995222345373,0.1603487073323042,0.10881916703900651,0.8359471382191097,0.40801331379081573,0.3926894135556372,11
tru Independence LLC,0001785445,0001785445-26-000002,31-MAR-2026,201844851,98,0.9982189361488115,0.9854132568385408,0.1496570261150414,0.10776468730263589,0.7717450678406303,0.7421906867166018,0.006541755290502101,11
"Three Cord True Wealth Management, LLC",0002056001,0002085853-26-000502,31-MAR-2026,179958111,39,1.0,1.0,0.1510148865814725,0.10787346259537,0.768487663739388,0.968656520159537,0.0,6
"Delos Wealth Advisors, LLC",0001878326,0001878326-26-000002,31-MAR-2026,173923476,233,0.9957893985302037,0.9902012192994579,0.11567265547678558,0.0845262150571453,0.5543754082052762,0.5289946815652754,0.0023174414463499136,13
"GS Investments, Inc.",0001714590,0001420506-26-000812,31-MAR-2026,168790126,125,0.966735957281517,0.9565200514158038,0.17640968919215783,0.11187240568123646,0.9159789617709083,0.12269883108810173,0.0,12
Alpha Financial Partners LLC,0001966219,0001951757-26-000850,31-MAR-2026,168426963,99,0.9970470288623059,0.9841293166344156,0.14277961151718982,0.09937599362036686,0.7416315924737273,0.6808157000534424,0.02896014303421086,12
"Longview Financial Advisors, Inc.",0001786915,0001786915-26-000002,31-MAR-2026,163420203,144,0.9986108559302266,0.9914225354376778,0.1373626745928259,0.10821495830174588,0.6450950426878064,0.9059384869559982,0.009139069031585486,12
Hidden Lake Asset Management LP,0001750312,0001750312-26-000004,31-MAR-2026,142262482,17,0.94284484278204,0.9815232732970314,0.38256504301730176,0.20515498119366715,1.7077326781136644,0.4842149209540937,0.0,5
