Ticker,Sector,Sigma,MDD,Beta
LKQ,Consumer Discretionary,0.291848,-0.537549,0.684194
LLY,Health Care,0.33349,-0.396549,0.621634
LMT,Industrials,0.210673,-0.341258,0.191596
LNT,Utilities,0.191551,-0.175363,0.341561
LOW,Consumer Discretionary,0.23996,-0.262921,0.830639
LRCX,Information Technology,0.432717,-0.523089,1.937378
LULU,Consumer Discretionary,0.424106,-0.743686,1.203566
LUV,Industrials,0.371144,-0.463552,1.101915
LVS,Consumer Discretionary,0.337198,-0.55779,0.980514
LW,Consumer Staples,0.40368,-0.654405,0.65604
LYB,Materials,0.294041,-0.566599,1.009578
LYV,Communication Services,0.29849,-0.25736,1.062958
MA,Financials,0.194227,-0.172446,0.826536
MAA,Real Estate,0.22036,-0.318415,0.662202
MAR,Consumer Discretionary,0.250231,-0.313775,1.053248
MAS,Industrials,0.2862,-0.322294,1.069568
MCD,Consumer Discretionary,0.166324,-0.177783,0.289518
MCHP,Information Technology,0.444967,-0.676406,1.961176
MCK,Health Care,0.233483,-0.251927,0.091111
MCO,Financials,0.248643,-0.254629,1.13852
MDLZ,Consumer Staples,0.190609,-0.272009,0.232057
MDT,Health Care,0.211423,-0.235006,0.499319
MELI,Unknown,0.388879,-0.26227,1.076017
MET,Financials,0.257968,-0.364366,0.979097
META,Communication Services,0.385677,-0.360499,1.542003
MGM,Consumer Discretionary,0.364813,-0.548584,1.366913
MHK,Consumer Discretionary,0.384794,-0.433933,1.282344
MKC,Consumer Staples,0.233972,-0.365637,0.356934
MLM,Materials,0.245737,-0.289403,0.930365
MMC,Financials,0.177539,-0.280835,0.487575
MMM,Industrials,0.299204,-0.342753,0.992027
MNST,Consumer Staples,0.225515,-0.273581,0.437095
MO,Consumer Staples,0.184833,-0.158756,0.130344
MOH,Health Care,0.410768,-0.717735,0.308896
MOS,Materials,0.365933,-0.630379,0.878361
MPC,Energy,0.31656,-0.480328,0.826115
MPWR,Information Technology,0.544958,-0.577799,2.311235
MRK,Health Care,0.234963,-0.456079,0.290375
MRNA,Health Care,0.59351,-0.930415,1.18971
MRVL,Unknown,0.604941,-0.65847,2.483351
MS,Financials,0.278402,-0.306305,1.228528
MSCI,Financials,0.294151,-0.272241,1.01927
MSFT,Information Technology,0.239502,-0.252404,1.091447
MSI,Information Technology,0.204393,-0.237676,0.612806
MSTR,Unknown,0.888956,-0.609033,2.341577
MTB,Financials,0.298565,-0.377541,0.996004
MTCH,Communication Services,0.409978,-0.580912,1.132874
MTD,Health Care,0.317544,-0.452515,1.122368
MU,Information Technology,0.49665,-0.642134,1.920557
NCLH,Consumer Discretionary,0.502216,-0.487398,1.749583
NDAQ,Financials,0.23083,-0.325312,0.850733
NDSN,Industrials,0.256937,-0.411969,1.022178
NEE,Utilities,0.276885,-0.439848,0.477762
NEM,Materials,0.366814,-0.468901,0.577156
NFLX,Communication Services,0.348348,-0.286081,1.134434
NI,Utilities,0.195328,-0.196831,0.438146
NKE,Consumer Discretionary,0.350789,-0.626016,1.014291
NOC,Industrials,0.236194,-0.234132,0.105859
NOW,Information Technology,0.361248,-0.399284,1.471004
NRG,Utilities,0.415621,-0.333784,1.370789
NSC,Industrials,0.247915,-0.288835,0.851765
NTAP,Information Technology,0.3202,-0.459729,1.170808
NTRS,Financials,0.293014,-0.37763,1.147419
NUE,Materials,0.348488,-0.513523,1.18927
NVDA,Information Technology,0.510038,-0.411434,2.174863
NVR,Consumer Discretionary,0.256049,-0.335937,0.743301
NWS,Communication Services,0.251913,-0.279502,0.945361
NWSA,Communication Services,0.249516,-0.279945,0.951938
NXPI,Information Technology,0.387628,-0.501156,1.749429
O,Real Estate,0.185079,-0.305848,0.349635
ODFL,Industrials,0.35504,-0.461246,1.20809
OKE,Energy,0.262679,-0.440339,0.91673
OMC,Communication Services,0.260302,-0.349844,0.768801
ON,Information Technology,0.518086,-0.762839,1.997602
ORCL,Information Technology,0.409811,-0.392273,1.271999
ORLY,Consumer Discretionary,0.199495,-0.183566,0.298529
OTIS,Industrials,0.211269,-0.211875,0.64477
OXY,Energy,0.303491,-0.547737,0.847956
PANW,Information Technology,0.40751,-0.353827,1.200663
PAYC,Industrials,0.471171,-0.703794,1.169317
PAYX,Industrials,0.223165,-0.283958,0.722218
PCAR,Industrials,0.256846,-0.30831,0.842118
PCG,Utilities,0.243821,-0.417433,0.529949
PDD,Unknown,0.534515,-0.534235,0.950605
PEG,Utilities,0.204027,-0.181479,0.549725
PEP,Consumer Staples,0.18286,-0.325843,0.197209
PFE,Health Care,0.241081,-0.580778,0.409548
PFG,Financials,0.256805,-0.310468,1.040145
PG,Consumer Staples,0.162266,-0.176749,0.219625
PGR,Financials,0.253579,-0.315929,0.312553
PH,Industrials,0.28322,-0.285414,1.301602
PHM,Consumer Discretionary,0.326436,-0.397767,0.958872
PKG,Materials,0.238731,-0.294912,0.774968
PLD,Real Estate,0.274233,-0.345861,1.010175
PLTR,Information Technology,0.653981,-0.439165,2.248157
PM,Consumer Staples,0.210617,-0.217106,0.250731
PNC,Financials,0.275736,-0.346109,1.034351
PNR,Industrials,0.278717,-0.310203,1.194668
PNW,Utilities,0.192382,-0.205649,0.324089
PODD,Health Care,0.378136,-0.627838,0.849073
POOL,Consumer Discretionary,0.32413,-0.440612,1.023323
PPG,Materials,0.25251,-0.398015,1.010883
PPL,Utilities,0.178224,-0.256408,0.319881
PRU,Financials,0.250952,-0.293814,1.038087
PSA,Real Estate,0.234034,-0.267478,0.588551
PSKY,Communication Services,0.562346,-0.704223,0.963826
PSX,Energy,0.303939,-0.472334,0.834343
PTC,Information Technology,0.256293,-0.332776,0.988626
PWR,Industrials,0.335911,-0.360358,1.249355
PYPL,Financials,0.373836,-0.482692,1.319564
QCOM,Information Technology,0.369787,-0.480727,1.633129
RCL,Consumer Discretionary,0.387421,-0.369251,1.525134
REG,Real Estate,0.206084,-0.181826,0.654272
REGN,Health Care,0.302751,-0.626347,0.576742
RF,Financials,0.310943,-0.426045,1.153109
RJF,Financials,0.26409,-0.337244,0.959646
RL,Consumer Discretionary,0.344557,-0.381666,1.281818
RMD,Health Care,0.328884,-0.462601,0.819785
ROK,Industrials,0.313919,-0.408075,1.228215
ROL,Industrials,0.222078,-0.274127,0.398646
ROP,Information Technology,0.18816,-0.262228,0.744779
ROST,Consumer Discretionary,0.234967,-0.215348,0.742936
RSG,Industrials,0.164909,-0.205865,0.335928
RTX,Industrials,0.23483,-0.339652,0.490735
RVTY,Health Care,0.334075,-0.517112,1.024696
SBAC,Real Estate,0.277609,-0.423099,0.455927
SBUX,Consumer Discretionary,0.312878,-0.379211,0.937448
SCHW,Financials,0.32213,-0.474293,0.896438
SHOP,Unknown,0.576112,-0.463223,2.275902
SHW,Materials,0.243212,-0.221278,0.869016
SJM,Consumer Staples,0.243652,-0.412302,0.160384
SLB,Energy,0.330314,-0.515427,0.940922
SMCI,Information Technology,0.946573,-0.900662,2.241808
SNA,Industrials,0.235668,-0.220343,0.793272
SNPS,Information Technology,0.446678,-0.50916,1.511297
SO,Utilities,0.180542,-0.16013,0.193089
SOLV,Health Care,0.323954,-0.372329,0.839189
SPG,Real Estate,0.24733,-0.252483,0.963289
SPGI,Financials,0.221234,-0.204747,0.929321
SRE,Utilities,0.242643,-0.343001,0.620642
STE,Health Care,0.242782,-0.207417,0.686715
STLD,Materials,0.356143,-0.341289,1.195651
STT,Financials,0.283899,-0.340994,1.095712
STX,Information Technology,0.394062,-0.426665,1.325327
STZ,Consumer Staples,0.249352,-0.541097,0.531957
SW,Materials,0.410794,-0.393112,0.880204
SWK,Industrials,0.379436,-0.507923,1.453122
SWKS,Information Technology,0.412256,-0.644142,1.640298
SYF,Financials,0.361233,-0.395869,1.449632
SYK,Health Care,0.219416,-0.172718,0.755341
SYY,Consumer Staples,0.194795,-0.266812,0.400803
T,Communication Services,0.2359,-0.333274,0.204965
TAP,Consumer Staples,0.238374,-0.385641,0.396588
TDG,Industrials,0.256036,-0.195253,0.905104
TDY,Information Technology,0.224992,-0.212479,0.833615
TEAM,Unknown,0.524381,-0.593204,1.654801
TECH,Health Care,0.37716,-0.546857,1.150904
TEL,Information Technology,0.242604,-0.245742,1.136329
TER,Information Technology,0.461436,-0.629325,1.891908
TFC,Financials,0.343028,-0.499853,1.276137
TGT,Consumer Staples,0.359041,-0.566058,0.909661
TJX,Consumer Discretionary,0.174756,-0.113353,0.552061
TKO,Communication Services,0.339822,-0.373532,0.67242
TMO,Health Care,0.260672,-0.393954,0.862535
TMUS,Communication Services,0.217451,-0.270572,0.300811
TPL,Energy,0.437105,-0.555629,1.137175
TPR,Consumer Discretionary,0.37587,-0.442719,1.197429
TRGP,Energy,0.29704,-0.35404,1.004078
TRI,Unknown,0.209695,-0.305226,0.544649
TRMB,Information Technology,0.313293,-0.376896,1.331484
TROW,Financials,0.294336,-0.383278,1.392317
TRV,Financials,0.222613,-0.185938,0.486909
TSCO,Consumer Discretionary,0.256387,-0.252098,0.673106
TSLA,Consumer Discretionary,0.616436,-0.575984,2.242418
TSN,Consumer Staples,0.245935,-0.339485,0.312999
TT,Industrials,0.264303,-0.255737,1.017839
TTD,Communication Services,0.641761,-0.793114,1.811565
TTWO,Communication Services,0.290383,-0.212077,0.806914
TXN,Information Technology,0.313792,-0.362575,1.309054
TXT,Industrials,0.255344,-0.397084,0.940033
TYL,Information Technology,0.272944,-0.298731,0.889425
UAL,Industrials,0.458608,-0.516398,1.579747
UBER,Industrials,0.385633,-0.31844,1.274312
UDR,Real Estate,0.227624,-0.291922,0.761622
UHS,Health Care,0.294915,-0.391746,0.727797
ULTA,Consumer Discretionary,0.328807,-0.488102,0.761581
UNH,Health Care,0.348669,-0.657074,0.271109
UNP,Industrials,0.221579,-0.1912,0.724064
UPS,Industrials,0.287451,-0.570249,0.873965
URI,Industrials,0.369389,-0.387524,1.463995
USB,Financials,0.318044,-0.438805,1.174984
V,Financials,0.190215,-0.155301,0.774248
VICI,Real Estate,0.189881,-0.195068,0.497615
VLO,Energy,0.337829,-0.449137,0.832127
VLTO,Industrials,0.225141,-0.256554,0.723721
VMC,Materials,0.23859,-0.251204,0.889427
VRSK,Industrials,0.223142,-0.36161,0.471723
VRSN,Information Technology,0.216125,-0.275366,0.595742
VRTX,Health Care,0.284488,-0.337813,0.493625
VST,Utilities,0.533244,-0.557412,1.613399
VTR,Real Estate,0.240698,-0.246332,0.544792
VTRS,Health Care,0.300481,-0.470628,0.743932
VZ,Communication Services,0.219396,-0.240976,0.209297
WAB,Industrials,0.237563,-0.247657,1.010222
WAT,Health Care,0.336749,-0.364968,1.010963
WBD,Communication Services,0.55652,-0.653728,1.640398
WDAY,Information Technology,0.353375,-0.366572,1.182289
WDC,Information Technology,0.440697,-0.544679,1.640018
WEC,Utilities,0.185097,-0.215538,0.253615
WELL,Real Estate,0.228021,-0.155688,0.55119
WFC,Financials,0.287276,-0.261126,1.002492
WM,Industrials,0.177704,-0.1868,0.2907
WMB,Energy,0.224552,-0.174227,0.659681
WMT,Consumer Staples,0.198743,-0.227284,0.497002
WRB,Financials,0.223366,-0.274356,0.319518
WSM,Consumer Discretionary,0.439726,-0.395349,1.419438
WST,Health Care,0.464572,-0.650949,0.774139
WTW,Financials,0.208562,-0.24479,0.425263
WY,Real Estate,0.252271,-0.379916,0.857716
WYNN,Consumer Discretionary,0.350974,-0.479324,1.07414
XEL,Utilities,0.209481,-0.331251,0.288075
XOM,Energy,0.23144,-0.202968,0.505209
XYL,Industrials,0.235911,-0.306686,0.955564
XYZ,Financials,0.530832,-0.619979,2.019999
YUM,Consumer Discretionary,0.187418,-0.184527,0.455122
ZBH,Health Care,0.234911,-0.407123,0.488056
ZBRA,Information Technology,0.407573,-0.511245,1.62919
ZS,Unknown,0.468416,-0.450186,1.611616
ZTS,Health Care,0.256955,-0.32242,0.752368
